,title,magnitude,cdi,mmi,alert,tsunami,sig,net,nst,dmin,gap,magType,depth,latitude,longitude,location,continent,country,year,month,day,hour,minute
203,805,7.3,8,6,3,1,1570,9,0,1.822,15.0,8,146.82,10.7731,-62.9019,82,6,56,2018,8,21,21,31
204,551,6.9,7,7,0,0,1206,9,0,2.453,31.0,8,21.0,-8.319,116.627,218,6,20,2018,8,19,14,56
205,968,8.2,5,4,0,1,1050,9,0,3.63,13.0,8,600.0,-18.1125,-178.153,229,6,14,2018,8,19,0,19
206,22,6.5,5,3,0,0,743,9,0,2.719,23.0,8,529.0,-7.3718,119.802,217,6,20,2018,8,17,15,35
207,9,6.5,6,6,0,1,655,9,0,0.576,22.0,8,33.93,51.4234,-178.026,11,3,53,2018,8,15,21,56
208,573,6.9,9,8,1,0,1704,9,0,2.271,15.0,8,34.0,-8.2581,116.438,218,6,20,2018,8,5,11,46
209,547,6.9,7,8,3,1,1392,4,63,0.11,210.0,5,5.81,19.3182,-155.0,228,6,53,2018,5,4,22,32
210,480,6.8,5,3,0,0,733,9,0,5.32,16.0,8,559.0,-20.6588,-63.0058,68,5,5,2018,4,2,13,40
211,542,6.9,9,6,0,1,741,9,0,1.487,18.0,8,35.0,-5.5321,151.5,195,6,35,2018,3,29,21,25
212,339,6.7,5,6,0,1,696,9,0,1.507,15.0,8,40.0,-5.5024,151.402,195,6,35,2018,3,26,9,51
